originTAZ,destTAZ,tt_da,cost_da,tt_sr,cost_sr,tt_walk,tt_bike,tt_wt,accTime_wt,egrTime_wt,iWait_wt,xWait_wt,cost_wt,tt_dt,accTime_dt,egrTime_dt,iWait_dt,xWait_dt,cost_dt,weights,dist_car,accDist_dt,avail_da,avail_sr,avail_walk,avail_bike,avail_wt,avail_dt,choice,obsID
1367,1358,59.17,3.0935,59.17,1.5468,323.61,55.73,0,0,0,0,0,0,61.79,33.65,28.28,15.36,39.37,4.78,73.5,17.53,11.89,1,1,0,1,0,1,2,16081
1367,1366,47.13,2.3647,47.13,1.1824,207.29,35.7,0,0,0,0,0,0,26.545,21.05,7.6,4.29,60,3.45,73.5,13.4,5.93,1,1,0,1,0,0,2,16082
1367,1366,47.13,2.3647,47.13,1.1824,207.29,35.7,0,0,0,0,0,0,26.545,21.05,7.6,4.29,60,3.45,73.5,13.4,5.93,1,1,0,1,0,0,2,16083
1112,356,247.48,21.62,210.68,10.02,1789.94,308.27,121.31,8.4,11.4,12,18.83,7.69,218.95,11.56,17.31,19.5,26.33,10.72,33.5,113.56,2.78,1,1,0,0,0,1,1,16084
733,866,62.32,4.9112,62.32,2.4556,530.77,91.41,79.055,31.9,33.2,16.875,34.875,5.68,39.91,35.39,34.67,12.375,12.375,3.67,50,27.83,8.06,1,1,0,0,1,1,1,16085
921,265,120.72,11.672,113.3,5.0462,1060.32,182.61,130.56,15,10.2,8.5,17.83,2.17,220.49,25.94,19.14,12.25,48.495,8.275,59.5,57.19,6.055,1,1,0,0,0,1,1,16086
921,265,120.72,11.672,113.3,5.0462,1060.32,182.61,130.56,15,10.2,8.5,17.83,2.17,220.49,25.94,19.14,12.25,48.495,8.275,59.5,57.19,6.055,1,1,0,0,0,1,1,16087
921,927,25.12,0.72353,25.12,0.36176,79.2,13.64,20.15,14.2,14.2,15,0,2.12,20.15,6.63,6.63,15,0,2.12,59.5,4.1,1.14,1,1,1,1,1,1,5,16088
921,927,25.23,0.72353,25.23,0.36176,79.2,13.64,20.18,14.2,14.2,15,0,2.12,20.18,6.63,6.63,15,0,2.12,59.5,4.1,1.14,1,1,1,1,1,1,1,16089
921,927,26.8,0.72353,26.8,0.36176,79.2,13.64,20.565,14.2,14.2,19.5,0,2.12,20.565,6.63,6.63,19.5,0,2.12,59.5,4.1,1.14,1,1,1,1,1,1,1,16090
921,875,37.74,2.4353,37.74,0.81176,240.62,41.44,53.475,23.8,23.8,20.5,0,2.12,53.475,16.23,16.23,20.5,0,2.12,59.5,13.8,1.14,1,1,0,1,1,1,2,16091
921,875,37.74,2.4353,37.74,1.2176,240.62,41.44,53.475,23.8,23.8,20.5,0,2.12,53.475,16.23,16.23,20.5,0,2.12,59.5,13.8,1.14,1,1,0,1,1,1,1,16092
1277,1111,112.33,15.849,112.33,7.9247,1436.65,247.42,0,0,0,0,0,0,68.54,35.36,66.66,22,7.5,2.72,47,80.86,49.74,1,1,0,0,0,1,1,16093
1277,1111,112.33,15.849,112.33,7.9247,1436.65,247.42,0,0,0,0,0,0,68.54,35.36,66.66,22,7.5,2.72,47,80.86,49.74,1,1,0,0,0,1,1,16094
1277,1223,109.57,11.531,109.57,5.7653,1175.67,202.48,0,0,0,0,0,0,87.205,16.28,7.4,12,15,2.12,47,65.34,4.07,1,1,0,0,0,0,1,16095
1394,1382,74.02,4.1894,74.02,2.0947,453.02,78.02,0,0,0,0,0,0,0,0,0,0,0,0,70.5,23.74,0,1,1,0,0,0,0,1,16096
1394,1382,74.02,4.1894,74.02,2.0947,453.02,78.02,0,0,0,0,0,0,0,0,0,0,0,0,70.5,23.74,0,1,1,0,0,0,0,1,16097
359,341,24.32,1.0518,24.32,0.52588,115.43,19.88,12,27.6,27.6,17.07,0,2.34,6,14.12,14.2,17.07,0,2.34,118.5,5.96,2.94,1,1,1,1,1,1,2,16098
359,341,24.32,1.0518,24.32,0.52588,115.43,19.88,12,27.6,27.6,17.07,0,2.34,6,14.12,14.2,17.07,0,2.34,118.5,5.96,2.94,1,1,1,1,1,1,1,16099
359,341,24.32,1.0518,24.32,0.52588,115.43,19.88,12,27.6,27.6,17.07,0,2.34,6,14.12,14.2,17.07,0,2.34,118.5,5.96,2.94,1,1,1,1,1,1,2,16100
359,341,24.32,1.0518,24.32,0.52588,115.43,19.88,12,27.6,27.6,17.07,0,2.34,6,14.12,14.2,17.07,0,2.34,118.5,5.96,2.94,1,1,1,1,1,1,1,16101
718,1083,201.25,19.138,180.08,9.5691,1773.97,305.52,0,0,0,0,0,0,147.63,45.71,58.47,19.5,25,6.48,55.5,108.45,39.95,1,1,0,0,0,1,1,16102
718,1083,201.25,19.138,180.08,9.5691,1773.97,305.52,0,0,0,0,0,0,147.63,45.71,58.47,19.5,25,6.48,55.5,108.45,39.95,1,1,0,0,0,1,1,16103
376,349,41.31,1.9924,38.74,0.99618,203.83,35.1,18.81,9.7,16,12,7.125,2.255,5.73,37.75,25.09,14.17,15,3.18,63,11.29,11.05,1,1,0,0,0,1,1,16104
376,349,41.31,1.9924,38.74,0.99618,203.83,35.1,37.515,25.7,25.7,17.05,26.91,4.51,6.205,27.35,27.38,4.56,0,2.12,63,11.29,10.52,1,1,0,0,1,1,1,16105
1100,1113,49.58,2.1706,49.58,1.0853,238.06,41,0,0,0,0,0,0,7,41.66,40.97,15,0,1.66,176,12.3,14.78,1,1,0,1,0,1,1,16106
1315,1314,44.53,1.8529,44.53,0.92647,203.32,35.02,0,0,0,0,0,0,0,0,0,0,0,0,27.5,10.5,0,1,1,0,0,0,0,1,16107
1315,1314,44.53,1.8529,44.53,0.92647,203.32,35.02,0,0,0,0,0,0,0,0,0,0,0,0,27.5,10.5,0,1,1,0,0,0,0,1,16108
41,1,30.53,0.48353,30.53,0.24176,45.06,7.76,10.69,10.6,11.5,6.11,0,1.66,38.4,28.81,28.81,3.38,0,3.26,82,2.74,22.13,1,1,1,0,1,1,3,16109
186,10,59.72,2.0312,59.72,1.0156,213.08,36.7,45.09,12.4,12.2,8,0,1.66,29.4,23.29,22.48,3.38,0,3.26,38.5,11.51,8.03,1,1,0,0,1,1,1,16110
186,10,59.72,2.0312,59.72,1.0156,213.08,36.7,45.09,12.4,12.2,8,0,1.66,29.4,23.29,22.48,3.38,0,3.26,38.5,11.51,8.03,1,1,0,0,1,1,1,16111
186,183,16.16,0.41294,16.16,0.20647,45.33,7.81,9.28,11.6,11.4,8,0,1.66,74.075,22.69,21.38,7.38,7.5,4.72,38.5,2.34,8.03,1,1,1,0,1,1,1,16112
186,183,16.16,0.41294,16.16,0.20647,45.33,7.81,9.28,11.6,11.4,8,0,1.66,74.075,22.69,21.38,7.38,7.5,4.72,38.5,2.34,8.03,1,1,1,0,1,1,1,16113
337,341,18.76,0.70941,18.76,0.35471,77.97,13.43,22.76,29.4,29.4,15,0,2.34,6,19.79,20.29,17.07,0,2.34,144,4.02,5.64,1,1,1,1,1,1,1,16114
1280,1273,28.82,2.0118,28.82,1.0059,173.45,29.87,0,0,0,0,0,0,18.055,24.53,23.86,24,48.75,4.24,56.5,11.4,8.12,1,1,0,1,0,1,1,16115
1280,1273,29.72,2.0118,29.72,1.0059,173.45,29.87,0,0,0,0,0,0,17.79,24.81,23.05,24,43.64,4.24,56.5,11.4,8.12,1,1,0,1,0,1,1,16116
1280,1273,28.82,2.0118,28.82,1.0059,173.45,29.87,0,0,0,0,0,0,18.055,24.53,23.86,24,48.75,4.24,56.5,11.4,8.12,1,1,0,1,0,1,1,16117
1280,1273,29.72,2.0118,29.72,1.0059,173.45,29.87,0,0,0,0,0,0,17.79,24.81,23.05,24,43.64,4.24,56.5,11.4,8.12,1,1,0,1,0,1,1,16118
1165,732,56.83,4.2,41.92,2.1,423.62,72.96,153.93,25,25,24,55,4.24,127.08,24.31,21.65,24,0,2.12,57,23.8,6.67,1,1,0,0,1,1,1,16119
1165,732,56.83,4.2,41.92,2.1,423.62,72.96,155.78,25,25,24,55,4.24,128.31,24.31,22.96,24,0,2.12,57,23.8,6.67,1,1,0,0,1,1,1,16120
97,4,48.65,1.5476,48.65,0.77382,137.69,23.71,15.6,20.2,20.6,3.38,0,1.66,35.6,17.61,16.89,3.38,0,3.26,96.5,8.77,10.25,1,1,1,0,1,1,5,16121
97,4,48.65,1.5476,48.65,0.77382,137.69,23.71,15.6,20.2,20.6,3.38,0,1.66,35.6,17.61,16.89,3.38,0,3.26,96.5,8.77,10.25,1,1,1,0,1,1,5,16122
1215,1118,64.79,6.8688,64.79,3.4344,564.77,97.27,119.72,15.8,15.8,19.5,63.75,6.38,35.415,35.97,8.72,19.5,43.75,3.67,82,29.97,31.11,1,1,0,0,1,1,1,16123
1215,1118,64.79,6.8688,64.79,3.4344,564.77,97.27,119.72,15.8,15.8,19.5,63.75,6.38,35.415,35.97,8.72,19.5,43.75,3.67,82,29.97,31.11,1,1,0,0,1,1,1,16124
1215,1118,64.79,6.8688,64.79,1.7629,564.77,97.27,119.72,15.8,15.8,19.5,63.75,6.38,35.415,35.97,8.72,19.5,43.75,3.67,82,29.97,31.11,1,1,0,0,1,1,2,16125
1215,1118,64.79,6.8688,64.79,3.4344,564.77,97.27,119.72,15.8,15.8,19.5,63.75,6.38,35.415,35.97,8.72,19.5,43.75,3.67,82,29.97,31.11,1,1,0,0,1,1,2,16126
182,201,39.64,2.55,39.64,1.275,225.45,38.83,59.795,9.3,9.3,17.5,17.5,3.78,8.61,24.36,25.37,10,0,2.12,213,14.45,15.39,1,1,0,0,1,1,2,16127
1214,737,81.12,14.097,81.12,7.0485,1291.74,222.47,0,0,0,0,0,0,69.47,10.2,6.22,12,15,3.66,52.5,70.93,20.95,1,1,0,0,0,0,1,16128
1214,737,81.12,14.097,81.12,7.0485,1291.74,222.47,0,0,0,0,0,0,0,0,0,0,0,0,52.5,70.93,0,1,1,0,0,0,0,1,16129
786,549,94.71,7.1029,83.1,3.5515,758.75,130.67,141.64,20,20,15.75,41.61,6.44,77.035,21.675,36.145,11.875,13.75,2.44,61.5,40.25,25.43,1,1,0,0,1,1,2,16130
786,549,94.71,7.1029,83.1,3.5515,758.75,130.67,141.64,20,20,15.75,41.61,6.44,77.035,21.675,36.145,11.875,13.75,2.44,61.5,40.25,25.43,1,1,0,0,1,1,2,16131
786,519,68.54,9.6406,68.54,4.8203,1020.19,175.7,102.69,9.4,12.4,7.5,33.75,3.9,54.535,9.4,33.21,7.5,5,1.89,61.5,54.63,16.55,1,1,0,0,0,0,1,16132
786,519,68.54,9.6406,68.54,4.8203,1020.19,175.7,0,0,0,0,0,0,54.695,9.4,30,12,10,1.89,61.5,54.63,16.55,1,1,0,0,0,0,1,16133
1186,1008,140.42,13.669,140.42,6.8347,1284.58,221.23,0,0,0,0,0,0,133.52,32.3,15.27,10.31,12.5,7.62,46,77.46,13.5,1,1,0,0,0,1,1,16134
1186,1164,109.56,10.987,109.56,5.4935,1011,174.12,0,0,0,0,0,0,0,0,0,0,0,0,46,62.26,0,1,1,0,0,0,0,1,16135
1186,715,182.12,14.862,182.12,7.4312,1077.43,185.56,0,0,0,0,0,0,0,0,0,0,0,0,46,84.22,0,1,1,0,0,0,0,1,16136
651,546,41.76,3.1253,41.76,1.5626,316.28,54.47,97.79,15.8,15.8,19.5,22.5,4.24,42.24,20.89,20.74,10,0,1.66,208,17.71,11.78,1,1,0,1,1,1,1,16137
1307,1311,52.67,2.3435,52.67,1.1718,246.97,42.53,0,0,0,0,0,0,0,0,0,0,0,0,37.5,13.28,0,1,1,0,1,0,0,1,16138
1307,1311,52.67,2.3435,52.67,1.1718,246.97,42.53,0,0,0,0,0,0,0,0,0,0,0,0,37.5,13.28,0,1,1,0,1,0,0,1,16139
1307,1306,24.83,1.2459,24.83,0.62294,126.48,21.78,0,0,0,0,0,0,0,0,0,0,0,0,37.5,7.06,0,1,1,1,1,0,0,1,16140
1307,1306,24.59,1.2459,24.59,0.62294,126.48,21.78,0,0,0,0,0,0,0,0,0,0,0,0,37.5,7.06,0,1,1,1,1,0,0,1,16141
436,412,38.87,2.3541,31.44,1.1771,234.85,40.45,71.225,15.2,15.2,15.79,25,3.18,3.32,24.27,19.5,15,0,1.66,54.5,13.34,12.15,1,1,0,1,1,1,1,16142
436,412,38.87,2.3541,31.44,1.1771,234.85,40.45,68.5,15.2,15.2,8.79,18,2.95,3.32,24.27,20.87,10,0,1.66,54.5,13.34,12.19,1,1,0,1,1,1,1,16143
436,412,34.08,2.4124,34.08,1.2062,234.85,40.45,70,15.2,15.2,16.29,25,3.18,3.32,20.84,19.5,15,0,1.66,54.5,13.67,12.09,1,1,0,1,1,1,1,16144
1414,1145,129.34,18.751,129.34,9.3753,1690.63,291.16,119.09,7.2,22.8,3.75,4.09,4,33.5,7.2,25.76,3.75,3.75,1.97,43.5,97.3,28.38,1,1,0,0,0,0,1,16145
1414,1145,129.34,18.751,129.34,9.3753,1690.63,291.16,119.09,7.2,22.8,3.75,4.09,4,33.5,7.2,25.76,3.75,3.75,1.97,43.5,97.3,28.38,1,1,0,0,0,0,1,16146
1414,1,145.32,13.859,130.83,6.9294,1220.15,210.14,211.29,27.6,26.2,15,0,2.66,106.64,13.91,20.79,19,0,3.7,43.5,65.16,30.22,1,1,0,0,1,1,6,16147
1414,1,145.32,13.859,130.83,6.9294,1220.15,210.14,211.29,27.6,26.2,15,0,2.66,106.64,13.91,20.79,19,0,3.7,43.5,65.16,30.22,1,1,0,0,1,1,6,16148
1007,18,98.95,5.9247,92.8,1.4482,456.19,78.57,67.075,23,24.6,8.25,6.65,5.87,44.2,25.1,27.84,7.5,0,3.86,46,24.62,3.78,1,1,0,0,1,1,2,16149
1007,18,98.95,5.9247,98.95,2.9624,456.19,78.57,69.74,23,25,9.5,8.75,5.64,40.7,25.1,30.78,8.75,0,3.76,46,24.62,5.33,1,1,0,0,1,1,5,16150
1091,1069,73.56,5.8041,73.56,2.9021,592.41,102.03,109.03,18.6,18.6,19.5,40,4.24,106.62,15.35,34.46,19.5,18.75,11.16,45,32.89,10.01,1,1,0,0,1,1,2,16151
1091,1069,54.02,5.8747,54.02,2.9374,592.41,102.03,104.06,18.6,18.6,19.5,47.5,4.24,111.47,15.35,33.86,19.5,22.5,10.44,45,33.29,10.01,1,1,0,0,1,1,2,16152
1091,1224,62.25,7.0524,62.25,1.8241,466.01,80.26,194.01,21,14.8,24,21,4.24,117.12,17.75,21.46,24,13.5,9.62,45,31.01,10.01,1,1,0,0,1,1,2,16153
1091,1224,62.25,7.0524,62.25,3.5262,466.01,80.26,194.01,21,14.8,24,21,4.24,117.12,17.75,21.46,24,13.5,9.62,45,31.01,10.01,1,1,0,0,1,1,1,16154
1400,1392,101.72,4.8424,101.72,2.4212,531.1,91.47,0,0,0,0,0,0,0,0,0,0,0,0,89,27.44,0,1,1,0,0,0,0,1,16155
1400,1392,101.72,4.8424,101.72,2.4212,531.1,91.47,0,0,0,0,0,0,0,0,0,0,0,0,89,27.44,0,1,1,0,0,0,0,1,16156
153,212,45.01,2.6188,45.01,1.3094,251.63,43.34,0,0,0,0,0,0,0,0,0,0,0,0,39,14.84,0,1,1,0,0,0,0,1,16157
153,212,45.01,2.6188,45.01,1.3094,251.63,43.34,0,0,0,0,0,0,0,0,0,0,0,0,39,14.84,0,1,1,0,0,0,0,1,16158
236,408,154.16,14.377,127.64,7.1885,1293.43,222.76,184.01,21.8,21.8,20,40,8.17,114.49,12.71,60.87,20,20,4.5,93.5,81.47,29.91,1,1,0,0,1,1,1,16159
1252,1252,11,0.47647,11,0.23824,78.99,13.6,0,0,0,0,0,0,0,0,0,0,0,0,100,2.7,0,1,1,1,1,0,0,1,16160
708,432,132.8,13.548,118.38,6.7738,1391.23,239.6,106,27.6,27.6,24,0,5.66,106,14.06,14.26,24,0,5.66,46,76.77,1.74,1,1,0,0,1,1,6,16161
708,432,132.8,13.548,118.38,6.7738,1391.23,239.6,106,27.6,27.6,24,0,5.66,106,14.06,14.26,24,0,5.66,46,76.77,1.74,1,1,0,0,1,1,6,16162
1414,1381,149.89,10.865,149.89,5.4326,1142.79,196.81,0,0,0,0,0,0,0,0,0,0,0,0,62,61.57,0,1,1,0,0,0,0,1,16163
1414,1381,149.89,10.865,149.89,5.4326,1142.79,196.81,0,0,0,0,0,0,0,0,0,0,0,0,62,61.57,0,1,1,0,0,0,0,1,16164
1422,234,142.45,14.233,139.03,7.1165,1257.29,216.53,214.66,30.2,30.2,17,23.75,8.6,179.51,26.22,24.91,8.91,16.25,8.04,96,67.28,23.66,1,1,0,0,1,1,2,16165
1422,234,142.45,14.233,139.03,7.1165,1257.29,216.53,103.74,13.6,16.6,12,8.75,4.3,174.38,26.22,31.33,11.41,16.25,7.8,96,67.28,28.32,1,1,0,0,0,1,1,16166
1422,2,108.31,10.794,104.89,5.3968,887.55,152.86,135.21,16.8,18,24,0,2.66,96.345,14.22,12.71,11.41,0,3.6,96,47.79,23.66,1,1,0,0,1,1,2,16167
1422,2,108.31,10.794,104.89,5.3968,887.55,152.86,135.21,16.8,18,24,0,2.66,96.345,14.22,12.71,11.41,0,3.6,96,47.79,23.66,1,1,0,0,1,1,2,16168
1106,1113,32.8,1.2565,32.8,0.62824,137.63,23.7,35.205,10.8,10.8,13.24,0,2.12,7,32.28,33.02,11.25,0,1.66,162,7.12,9.84,1,1,1,1,1,1,1,16169
1106,1113,32.8,1.2565,32.8,0.62824,137.63,23.7,35.205,10.8,10.8,13.24,0,2.12,7,32.28,33.02,11.25,0,1.66,162,7.12,9.84,1,1,1,1,1,1,1,16170
1355,1366,29.52,1.2882,29.52,0.64412,141.13,24.31,0,0,0,0,0,0,0,0,0,0,0,0,132,7.3,0,1,1,1,0,0,0,1,16171
1395,1328,176.59,10.668,176.59,5.3338,1102.37,189.85,0,0,0,0,0,0,0,0,0,0,0,0,34,60.45,0,1,1,0,0,0,0,1,16172
1395,1328,176.59,10.668,176.59,5.3338,1102.37,189.85,0,0,0,0,0,0,0,0,0,0,0,0,34,60.45,0,1,1,0,0,0,0,2,16173
1332,1336,35.44,1.6235,35.44,0.81176,177.94,30.65,16.73,9.8,15,12,0,1.06,29.67,4.68,15,12,0,1.06,50,9.2,1.1,1,1,0,0,0,0,1,16174
1332,1336,35.44,1.6235,35.44,0.81176,177.94,30.65,16.73,9.8,15,12,0,1.06,29.67,4.68,15,12,0,1.06,50,9.2,1.1,1,1,0,0,0,0,1,16175
1408,1446,88.14,6.4288,78.75,3.2144,670.59,115.49,143.51,29,29,24,43.23,4.25,113.05,25.13,27.97,18.8,21.37,2.66,43.5,36.43,9.81,1,1,0,0,1,1,1,16176
1408,1446,88.14,6.4288,78.75,3.2144,670.59,115.49,143.51,29,29,24,43.23,4.25,113.05,25.13,27.97,18.8,21.37,2.66,43.5,36.43,9.81,1,1,0,0,1,1,1,16177
1408,4,127.95,12.334,117.75,6.1671,1058.5,182.3,155.06,24.4,26.8,24,0,2.66,123.86,16.79,19.26,9.59,0,2.66,43.5,56.52,5.36,1,1,0,0,1,1,1,16178
1408,4,127.95,12.334,117.75,6.1671,1058.5,182.3,155.06,24.4,26.8,24,0,2.66,123.86,16.79,19.26,9.59,0,2.66,43.5,56.52,5.36,1,1,0,0,1,1,1,16179
630,411,50.23,2.7935,46.07,1.3968,285.6,49.19,97.01,17,17,24,12.5,4.01,7.12,36.2,35.16,10,0,1.66,97,15.83,16.04,1,1,0,1,1,1,1,16180
630,411,50.23,2.7935,46.07,1.3968,285.6,49.19,97.01,17,17,24,12.5,4.01,7.12,36.2,35.16,10,0,1.66,97,15.83,16.04,1,1,0,1,1,1,1,16181
630,408,52.14,2.4706,49.09,1.2353,259.37,44.67,111.62,18.6,18.6,12.5,12.5,3.78,8.54,39.2,38.16,10,0,1.66,97,14,16.04,1,1,0,1,1,1,1,16182
630,415,50.01,3.5841,50.01,1.7921,383.07,65.97,127.94,25.2,28,18.5,43.27,4.425,12.1,40.61,38.83,15,15,1.66,97,20.31,17.53,1,1,0,1,1,1,5,16183
1150,11,71.64,9.3041,71.64,4.6521,805.8,138.78,38.19,5.4,9.4,7.5,40,3.45,32.8,5.4,6.48,7.5,0,2.5,100,43.77,1.63,1,1,0,0,0,0,1,16184
1150,1038,83.73,5.3471,83.73,2.6735,547.78,94.34,72.85,19,19,13.76,38.97,7.42,61.62,16.08,16.08,5.51,13.01,5.41,100,30.3,3.26,1,1,0,0,1,1,1,16185
634,681,45.24,4.1506,42.67,2.0753,328.43,56.56,84.415,18.8,18.8,16.54,22.5,4.24,46.115,20.82,33.91,19.04,22.5,4.01,119,23.52,14.99,1,1,0,0,1,1,2,16186
1176,1137,102.97,5.5871,89.09,2.7935,580.9,100.04,0,0,0,0,0,0,19.935,55.45,56.58,14.75,14.75,3.67,73.5,31.66,26.79,1,1,0,0,0,1,1,16187
1176,1137,102.97,5.5871,89.09,2.7935,580.9,100.04,0,0,0,0,0,0,19.935,55.45,56.58,14.75,14.75,3.67,73.5,31.66,26.79,1,1,0,0,0,1,1,16188
304,311,47.76,2.2129,47.76,1.1065,236.85,40.79,0,0,0,0,0,0,24.975,14.34,8,12,0,1.06,48.5,12.54,6,1,1,0,0,0,0,1,16189
304,311,47.76,2.2129,47.76,1.1065,236.85,40.79,0,0,0,0,0,0,50.85,22.34,22.72,24,0,2.12,48.5,12.54,12.06,1,1,0,0,0,1,1,16190
1269,1295,81.22,7.6059,81.22,3.8029,810.85,139.65,0,0,0,0,0,0,0,0,0,0,0,0,66.5,43.1,0,1,1,0,0,0,0,2,16191
538,537,11.42,0.28588,11.42,0.14294,31.51,5.43,2.465,19.4,19.4,6.75,0,2.12,8.14,30.61,30.32,10,0,1.66,29,1.62,5.66,1,1,1,0,1,1,1,16192
538,537,11.43,0.28588,11.43,0.14294,31.51,5.43,2.475,19.4,19.4,6,0,2.12,8.14,30.55,30.32,10,0,1.66,29,1.62,5.66,1,1,1,0,1,1,3,16193
538,473,35.56,2.2535,35.56,1.1268,192.97,33.23,40.88,23.6,23.6,24,25,5.3,61.305,21.81,21.52,17,20,3.78,29,12.77,5.66,1,1,0,0,1,1,1,16194
538,473,35.56,2.2535,35.56,1.1268,192.97,33.23,53.18,23.6,19.6,24,26.54,4.24,57.63,21.81,20.46,17,25,3.78,29,12.77,5.66,1,1,0,0,1,1,1,16195
309,18,108.78,9.0759,108.78,4.5379,933.08,160.7,98,17,17,22,0,4,98,8.18,8.14,22,0,4,63.5,51.43,1.1,1,1,0,0,1,1,1,16196
309,18,108.78,9.0759,108.78,4.5379,933.08,160.7,98,17,17,22,0,4,98,8.18,8.1,22,0,4,63.5,51.43,1.1,1,1,0,0,1,1,1,16197
445,478,32.56,1.98,30.12,0.99,189.48,32.63,0,0,0,0,0,0,58.98,18.38,18.71,17.5,30.075,5.68,33,11.22,4.44,1,1,0,0,0,1,1,16198
445,478,30.71,2.0118,30.71,1.0059,189.48,32.63,0,0,0,0,0,0,78.115,17.29,27.405,24,21.25,5.18,33,11.4,9.075,1,1,0,0,0,1,1,16199
445,278,88.87,9.0018,88.87,4.5009,895.88,154.29,0,0,0,0,0,0,84,23.09,22.95,24,0,5.66,33,51.01,3.38,1,1,0,0,0,1,1,16200
445,278,88.87,9.0018,88.87,4.5009,895.88,154.29,0,0,0,0,0,0,84,23.09,23.14,24,0,5.66,33,51.01,3.38,1,1,0,0,0,1,1,16201
309,266,36.43,1.89,36.43,0.63,198.29,34.15,57.75,19.4,19.4,14.2,16.93,4.46,32.19,10.58,10.64,22,24.57,3.56,63.5,10.71,1.1,1,1,0,1,1,1,2,16202
309,266,36.43,1.89,36.43,0.945,198.29,34.15,27.91,11.4,8,2.2,15,2.23,15.24,2.58,8,10,15,2.23,63.5,10.71,0.55,1,1,0,1,0,0,2,16203
309,266,36.43,1.89,36.43,0.63,198.29,34.15,27.91,11.4,8,2.2,15,2.23,15.24,2.58,8,10,15,2.23,63.5,10.71,0.55,1,1,0,1,0,0,2,16204
1370,1370,11.52,0.44824,11.52,0.22412,51.46,8.86,0,0,0,0,0,0,0,0,0,0,0,0,81.5,2.54,0,1,1,1,0,0,0,1,16205
1370,1370,11.52,0.44824,11.52,0.22412,51.46,8.86,0,0,0,0,0,0,0,0,0,0,0,0,81.5,2.54,0,1,1,1,0,0,0,1,16206
1370,1382,31.17,1.4047,31.17,0.70235,153.99,26.52,0,0,0,0,0,0,0,0,0,0,0,0,81.5,7.96,0,1,1,1,0,0,0,1,16207
1342,1344,19.29,0.80118,19.29,0.40059,87.93,15.14,37.935,13.8,13.8,24,0,2.12,8.36,16.83,17.1,8.1,0,2.66,50,4.54,5.08,1,1,1,1,1,1,1,16208
1342,1344,19.29,0.80118,19.29,0.40059,87.93,15.14,37.935,13.8,13.8,24,0,2.12,8.36,16.83,17.1,8.1,0,2.66,50,4.54,5.08,1,1,1,1,1,1,1,16209
1342,22,218.57,20.646,204.08,10.323,1928.46,332.12,136.16,7,5.4,12,4.46,2.39,256.11,19.23,15.35,16.46,0,2.66,50,103.62,5.01,1,1,0,0,0,1,1,16210
1342,22,218.57,20.646,204.08,10.323,1928.46,332.12,136.16,7,5.4,12,4.46,2.39,256.11,19.23,15.35,16.46,0,2.66,50,103.62,5.01,1,1,0,0,0,1,6,16211
230,81,62.59,3.9935,62.59,1.9968,420.87,72.48,0,0,0,0,0,0,24,30.16,32.76,3.38,0,2.86,296,22.63,11.14,1,1,0,0,0,1,2,16212
230,70,76.12,4.4241,76.12,2.2121,461.54,79.49,0,0,0,0,0,0,61.13,20.66,25.65,3.94,3.25,4.89,296,25.07,19.495,1,1,0,0,0,1,2,16213
230,309,73.03,6.6035,73.03,3.3018,639.87,110.2,0,0,0,0,0,0,50,26.53,25.66,22,0,4,296,37.42,8.72,1,1,0,0,0,1,1,16214
1391,1382,113.71,6.2082,113.71,3.1041,676.57,116.52,0,0,0,0,0,0,0,0,0,0,0,0,34,35.18,0,1,1,0,0,0,0,1,16215
1391,1382,113.71,6.2082,113.71,3.1041,676.57,116.52,0,0,0,0,0,0,0,0,0,0,0,0,34,35.18,0,1,1,0,0,0,0,1,16216
518,426,67.21,5.5712,52.38,2.7856,476.36,82.04,110.96,18,18,24,25.74,6.28,30,33.76,32.3,17.07,0,4,48.5,31.57,17.23,1,1,0,0,1,1,2,16217
518,426,67.21,5.5712,52.38,2.7856,476.36,82.04,110.96,18,18,24,25.74,6.28,30,33.76,32.3,17.07,0,4,48.5,31.57,17.23,1,1,0,0,1,1,2,16218
1383,1382,56.14,2.6506,56.14,1.3253,290.83,50.09,0,0,0,0,0,0,0,0,0,0,0,0,47.5,15.02,0,1,1,0,1,0,0,1,16219
1383,1391,77.95,4.2247,77.95,2.1124,463.16,79.77,0,0,0,0,0,0,0,0,0,0,0,0,47.5,23.94,0,1,1,0,0,0,0,1,16220
1383,1401,123.38,9.8841,123.38,4.9421,913.74,157.37,0,0,0,0,0,0,0,0,0,0,0,0,47.5,56.01,0,1,1,0,0,0,0,1,16221
1383,1382,56.14,2.6506,56.14,1.3253,290.83,50.09,0,0,0,0,0,0,0,0,0,0,0,0,47.5,15.02,0,1,1,0,1,0,0,1,16222
1191,1211,55.36,9.5988,55.36,4.7994,877.28,151.09,0,0,0,0,0,0,0,0,0,0,0,0,47,45.44,0,1,1,0,0,0,0,1,16223
1191,1211,55.36,9.5988,55.36,4.7994,877.28,151.09,0,0,0,0,0,0,0,0,0,0,0,0,47,45.44,0,1,1,0,0,0,0,1,16224
1191,1185,38.47,2.5394,38.47,1.2697,229.39,39.51,0,0,0,0,0,0,0,0,0,0,0,0,47,14.39,0,1,1,0,1,0,0,1,16225
1191,1185,38.47,2.5394,38.47,1.2697,229.39,39.51,0,0,0,0,0,0,0,0,0,0,0,0,47,14.39,0,1,1,0,1,0,0,1,16226
